epoch,loss(MSE),lr,time,tr_E(MAE),tr_F(MAE),val_E(MAE),val_F(MAE),irc_E(MAE),irc_F(MAE),test_E(MAE),test_F(MAE)
1.00000,171.62232,0.00010,13683.27001,2.78096,2.05044,2.01974,1.69137,0.00000,0.00000,0.00000,0.00000
2.00000,87.93761,0.00010,13586.82541,1.88102,1.56428,1.87578,1.49873,0.00000,0.00000,0.00000,0.00000
3.00000,70.30506,0.00010,13688.61165,1.66588,1.41619,1.45159,1.38020,0.00000,0.00000,0.00000,0.00000
4.00000,61.44469,0.00010,13601.52780,1.56432,1.33052,1.45713,1.32202,0.00000,0.00000,0.00000,0.00000
5.00000,55.82359,0.00010,13686.74343,1.49804,1.27199,1.21218,1.23482,0.00000,0.00000,0.00000,0.00000
6.00000,52.17094,0.00010,13597.50527,1.45524,1.22939,1.18658,1.24094,0.00000,0.00000,0.00000,0.00000
7.00000,49.14170,0.00010,13812.18256,1.42458,1.19577,1.15026,1.20419,0.00000,0.00000,0.00000,0.00000
8.00000,46.93249,0.00010,13703.75048,1.40395,1.16817,1.17157,1.14731,0.00000,0.00000,0.00000,0.00000
9.00000,45.24260,0.00010,13848.90327,1.37700,1.14706,1.19659,1.14126,0.00000,0.00000,0.00000,0.00000
10.00000,43.70001,0.00010,13680.05938,1.36804,1.12790,1.46799,1.16311,0.00000,0.00000,0.00000,0.00000
11.00000,42.75320,0.00010,13684.75942,1.34549,1.11175,1.52483,1.13117,0.00000,0.00000,0.00000,0.00000
12.00000,41.32542,0.00010,14605.22832,1.33832,1.09743,1.00046,1.08643,0.00000,0.00000,0.99999,1.08714
13.00000,40.73618,0.00010,13588.72490,1.33306,1.08541,1.33010,1.09273,0.00000,0.00000,0.00000,0.00000
14.00000,39.76233,0.00010,13625.35979,1.31786,1.07506,2.75933,1.06996,0.00000,0.00000,0.00000,0.00000
15.00000,39.14812,0.00010,13583.97816,1.31606,1.06535,2.20188,1.01233,0.00000,0.00000,0.00000,0.00000
16.00000,38.43513,0.00010,13673.82086,1.31055,1.05645,1.99148,1.06386,0.00000,0.00000,0.00000,0.00000
17.00000,37.91679,0.00010,13670.25430,1.30682,1.04886,1.42243,1.03744,0.00000,0.00000,0.00000,0.00000
18.00000,37.37917,0.00010,13580.55163,1.29169,1.04103,1.09526,1.06226,0.00000,0.00000,0.00000,0.00000
19.00000,37.07435,0.00010,13621.00603,1.30252,1.03442,1.14246,1.02369,0.00000,0.00000,0.00000,0.00000
20.00000,36.56689,0.00010,13708.83481,1.27972,1.02838,1.41150,1.03739,0.00000,0.00000,0.00000,0.00000
21.00000,36.18501,0.00010,13698.01829,1.27421,1.02330,0.96070,1.03252,0.00000,0.00000,0.00000,0.00000
22.00000,35.70539,0.00010,13607.79476,1.27210,1.01690,1.17559,1.02858,0.00000,0.00000,0.00000,0.00000
23.00000,35.36607,0.00010,13604.91206,1.27645,1.01195,1.68804,1.01153,0.00000,0.00000,0.00000,0.00000
24.00000,35.05265,0.00010,13605.00138,1.27080,1.00704,1.15495,1.02977,0.00000,0.00000,0.00000,0.00000
25.00000,34.78376,0.00010,14531.57906,1.25823,1.00270,1.09921,0.95173,0.00000,0.00000,1.09713,0.95200
26.00000,34.50740,0.00010,13678.66155,1.26652,0.99879,1.64969,0.94039,0.00000,0.00000,0.00000,0.00000
27.00000,34.30674,0.00010,13674.18572,1.25893,0.99481,0.95773,1.02494,0.00000,0.00000,0.00000,0.00000
28.00000,34.18231,0.00010,13680.45212,1.26672,0.99134,1.33376,0.99327,0.00000,0.00000,0.00000,0.00000
29.00000,33.91479,0.00010,13682.22080,1.26315,0.98801,1.71272,0.95837,0.00000,0.00000,0.00000,0.00000
30.00000,33.60072,0.00010,13669.50674,1.24480,0.98516,0.87506,0.98557,0.00000,0.00000,0.00000,0.00000
31.00000,33.34336,0.00010,13683.43819,1.24142,0.98175,1.22493,0.90475,0.00000,0.00000,0.00000,0.00000
32.00000,33.19278,0.00010,13593.39695,1.24595,0.97877,1.17242,0.96645,0.00000,0.00000,0.00000,0.00000
33.00000,32.99659,0.00010,13593.03737,1.23669,0.97545,1.15391,1.03362,0.00000,0.00000,0.00000,0.00000
34.00000,32.71323,0.00010,13594.32692,1.23808,0.97339,1.46430,0.92191,0.00000,0.00000,0.00000,0.00000
35.00000,32.70409,0.00010,13380.55862,1.24217,0.97054,0.97510,0.98965,0.00000,0.00000,0.00000,0.00000
36.00000,32.52270,0.00010,13319.61616,1.23545,0.96877,1.13879,0.92003,0.00000,0.00000,0.00000,0.00000
37.00000,32.33879,0.00010,13313.13453,1.23616,0.96638,1.54410,0.93983,0.00000,0.00000,0.00000,0.00000
38.00000,32.19634,0.00010,13321.93948,1.23251,0.96341,1.05119,1.01959,0.00000,0.00000,0.00000,0.00000
39.00000,32.24174,0.00010,13580.29099,1.23709,0.96209,0.94965,0.98005,0.00000,0.00000,0.00000,0.00000
40.00000,32.02038,0.00010,13601.57963,1.23561,0.95939,1.05212,0.99194,0.00000,0.00000,0.00000,0.00000
41.00000,31.87033,0.00010,13613.32320,1.23425,0.95793,0.83279,0.98293,0.00000,0.00000,0.00000,0.00000
42.00000,31.77622,0.00010,13610.93425,1.23016,0.95622,1.44563,0.98097,0.00000,0.00000,0.00000,0.00000
43.00000,31.55058,0.00010,14551.44421,1.21434,0.95412,1.14861,0.90731,0.00000,0.00000,1.14738,0.90728
44.00000,31.46351,0.00010,13677.92596,1.21548,0.95233,0.98064,0.96824,0.00000,0.00000,0.00000,0.00000
45.00000,31.39041,0.00010,13676.38253,1.21887,0.95016,0.92126,0.95999,0.00000,0.00000,0.00000,0.00000
46.00000,31.37854,0.00010,13679.89474,1.23589,0.94885,0.91053,0.95137,0.00000,0.00000,0.00000,0.00000
47.00000,31.16695,0.00010,13708.75592,1.20949,0.94756,1.06429,0.90018,0.00000,0.00000,0.00000,0.00000
48.00000,31.11864,0.00010,13615.60471,1.21557,0.94572,2.62892,0.96756,0.00000,0.00000,0.00000,0.00000
49.00000,31.00270,0.00010,13616.60626,1.21134,0.94479,1.54557,0.97806,0.00000,0.00000,0.00000,0.00000
50.00000,30.85711,0.00010,13611.96004,1.21121,0.94256,1.49040,0.87678,0.00000,0.00000,0.00000,0.00000
51.00000,30.67528,0.00010,13697.45164,1.20004,0.94133,1.47530,0.90683,0.00000,0.00000,0.00000,0.00000
52.00000,30.83158,0.00010,13705.43452,1.22310,0.94031,0.94292,0.92342,0.00000,0.00000,0.00000,0.00000
53.00000,30.58977,0.00010,14627.17003,1.21442,0.93919,1.16141,0.89303,0.00000,0.00000,1.16154,0.89320
54.00000,30.53273,0.00010,13613.36889,1.20718,0.93783,1.14488,0.93434,0.00000,0.00000,0.00000,0.00000
55.00000,30.36697,0.00010,13604.55937,1.20061,0.93653,1.87030,0.93489,0.00000,0.00000,0.00000,0.00000
56.00000,30.34834,0.00010,13604.68707,1.20357,0.93493,0.98861,0.95425,0.00000,0.00000,0.00000,0.00000
57.00000,30.31616,0.00010,13609.84561,1.20487,0.93405,1.44900,0.94400,0.00000,0.00000,0.00000,0.00000
58.00000,30.18515,0.00010,13605.29937,1.20623,0.93307,0.79591,0.91456,0.00000,0.00000,0.00000,0.00000
59.00000,30.11285,0.00010,14414.48654,1.19331,0.93179,0.91018,0.96131,0.00000,0.00000,0.00000,0.00000
60.00000,30.09031,0.00010,15523.57526,1.21082,0.93069,0.96384,0.90489,0.00000,0.00000,0.00000,0.00000
61.00000,30.01342,0.00010,15345.30551,1.20532,0.92945,1.43477,0.90193,0.00000,0.00000,0.00000,0.00000
62.00000,30.08446,0.00010,15384.93638,1.20635,0.92826,1.71707,0.93168,0.00000,0.00000,0.00000,0.00000
63.00000,29.87650,0.00010,15077.44705,1.19699,0.92773,1.00446,0.93826,0.00000,0.00000,0.00000,0.00000
64.00000,29.88511,0.00010,14638.47538,1.20455,0.92668,0.85873,0.93291,0.00000,0.00000,0.00000,0.00000
65.00000,29.68978,0.00010,14630.52759,1.19236,0.92518,0.85704,0.93280,0.00000,0.00000,0.00000,0.00000
66.00000,29.63734,0.00010,13659.87109,1.19059,0.92422,1.00744,0.94484,0.00000,0.00000,0.00000,0.00000
67.00000,29.58991,0.00010,13621.42254,1.18960,0.92364,1.00025,0.96721,0.00000,0.00000,0.00000,0.00000
68.00000,29.68223,0.00010,13612.61804,1.21365,0.92215,0.88213,0.92035,0.00000,0.00000,0.00000,0.00000
69.00000,29.53371,0.00010,13603.02895,1.19319,0.92235,1.07453,0.93437,0.00000,0.00000,0.00000,0.00000
70.00000,29.47356,0.00010,13606.60848,1.18688,0.92049,0.96555,0.90621,0.00000,0.00000,0.00000,0.00000
71.00000,29.33346,0.00010,13596.82137,1.18885,0.91959,1.39057,0.90811,0.00000,0.00000,0.00000,0.00000
72.00000,29.20317,0.00010,13614.38266,1.17021,0.91819,1.83318,0.89136,0.00000,0.00000,0.00000,0.00000
73.00000,29.28459,0.00010,14534.19832,1.18377,0.91750,0.81041,0.90494,0.00000,0.00000,0.81095,0.90493
74.00000,29.09661,0.00010,13694.85897,1.16957,0.91653,0.85204,0.86923,0.00000,0.00000,0.00000,0.00000
75.00000,29.07425,0.00010,13618.18463,1.17454,0.91601,1.89030,0.94587,0.00000,0.00000,0.00000,0.00000
76.00000,29.19680,0.00010,13608.06630,1.18618,0.91441,0.85843,0.92521,0.00000,0.00000,0.00000,0.00000
77.00000,28.95824,0.00010,13614.23313,1.16660,0.91367,0.97299,0.90151,0.00000,0.00000,0.00000,0.00000
78.00000,28.89422,0.00010,13608.44859,1.17268,0.91227,0.84925,0.93178,0.00000,0.00000,0.00000,0.00000
79.00000,28.94027,0.00010,13622.58134,1.17661,0.91242,2.33334,0.85655,0.00000,0.00000,0.00000,0.00000
80.00000,28.73976,0.00010,13628.03790,1.15741,0.91166,1.35057,0.90673,0.00000,0.00000,0.00000,0.00000
81.00000,28.83658,0.00010,13621.06009,1.17837,0.91058,0.88774,0.93347,0.00000,0.00000,0.00000,0.00000
82.00000,28.65437,0.00010,13655.35374,1.15052,0.90951,0.79223,0.92545,0.00000,0.00000,0.00000,0.00000
83.00000,28.73703,0.00010,13727.45669,1.17177,0.90881,0.87460,0.90059,0.00000,0.00000,0.00000,0.00000
84.00000,28.68608,0.00010,13679.96158,1.17070,0.90865,1.77886,0.88134,0.00000,0.00000,0.00000,0.00000
85.00000,28.54380,0.00010,13696.91597,1.15997,0.90745,0.96457,0.91060,0.00000,0.00000,0.00000,0.00000
86.00000,28.47238,0.00010,13694.78395,1.14473,0.90726,1.55684,0.93515,0.00000,0.00000,0.00000,0.00000
87.00000,28.30086,0.00010,13712.42411,1.14257,0.90515,0.83308,0.91328,0.00000,0.00000,0.00000,0.00000
88.00000,28.41355,0.00010,13711.41073,1.14786,0.90494,1.64239,0.91108,0.00000,0.00000,0.00000,0.00000
89.00000,28.38027,0.00010,13690.50938,1.14856,0.90475,0.99770,0.90866,0.00000,0.00000,0.00000,0.00000
90.00000,28.28571,0.00010,13707.26901,1.13854,0.90401,2.02353,0.92756,0.00000,0.00000,0.00000,0.00000
91.00000,28.27030,0.00010,13698.86728,1.14028,0.90320,1.07695,0.92452,0.00000,0.00000,0.00000,0.00000
92.00000,28.32359,0.00010,13703.08242,1.15938,0.90284,0.90499,0.92362,0.00000,0.00000,0.00000,0.00000
93.00000,28.21586,0.00010,13715.91181,1.14790,0.90185,2.08185,0.90912,0.00000,0.00000,0.00000,0.00000
94.00000,28.05551,0.00010,13677.34437,1.13016,0.90142,0.99426,0.94173,0.00000,0.00000,0.00000,0.00000
95.00000,28.03003,0.00010,13666.76466,1.13627,0.90021,1.47727,0.89819,0.00000,0.00000,0.00000,0.00000
96.00000,27.94817,0.00010,13658.66289,1.12230,0.89917,0.88419,0.92338,0.00000,0.00000,0.00000,0.00000
97.00000,28.03078,0.00010,13661.31004,1.12583,0.89911,1.69518,0.89176,0.00000,0.00000,0.00000,0.00000
98.00000,27.94684,0.00010,13657.58620,1.14150,0.89797,0.98493,0.89952,0.00000,0.00000,0.00000,0.00000
99.00000,27.87261,0.00010,13650.04698,1.12615,0.89770,0.85428,0.89853,0.00000,0.00000,0.00000,0.00000
100.00000,27.91179,0.00010,13649.35820,1.13801,0.89723,1.37229,0.84470,0.00000,0.00000,0.00000,0.00000
